symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2016-01-01 00:00:00+00:00,105.43,105.43,105.43,105.43,175.0,1.0,105.43
AAPL,2016-01-01 00:01:00+00:00,105.4,105.4,105.4,105.4,505.0,5.0,105.4
AAPL,2016-01-01 00:04:00+00:00,105.4,105.4,105.4,105.4,185.0,2.0,105.4
AAPL,2016-01-01 00:10:00+00:00,105.4,105.4,105.4,105.4,500.0,3.0,105.4
AAPL,2016-01-01 00:13:00+00:00,105.41,105.41,105.41,105.41,338.0,1.0,105.41
AAPL,2016-01-01 00:15:00+00:00,105.41,105.41,105.4,105.4,950.0,2.0,105.406968
AAPL,2016-01-01 00:17:00+00:00,105.4001,105.4001,105.4,105.4,671.0,5.0,105.40004
AAPL,2016-01-01 00:36:00+00:00,105.41,105.41,105.41,105.41,500.0,3.0,105.41
AAPL,2016-01-01 00:37:00+00:00,105.4,105.46,105.4,105.46,300.0,3.0,105.423333
AAPL,2016-01-01 00:38:00+00:00,105.46,105.47,105.46,105.47,1000.0,4.0,105.465
AAPL,2016-01-01 00:47:00+00:00,105.48,105.5,105.48,105.48,1599.0,11.0,105.495671
AAPL,2016-01-01 00:49:00+00:00,105.51,105.51,105.5099,105.5099,400.0,2.0,105.50995
AAPL,2016-01-01 00:51:00+00:00,105.42,105.5,105.4,105.5,1282.0,8.0,105.431266
AAPL,2016-01-01 00:54:00+00:00,105.42,105.42,105.4,105.4,955.0,4.0,105.411587
AAPL,2016-01-01 00:55:00+00:00,105.42,105.43,105.42,105.43,600.0,2.0,105.425
AAPL,2016-01-01 00:57:00+00:00,105.3601,105.46,105.36,105.46,1686.0,9.0,105.395826
AAPL,2016-01-04 09:00:00+00:00,105.45,105.45,103.6,103.6,17462.0,55.0,104.141797
AAPL,2016-01-04 09:03:00+00:00,103.7,103.99,103.7,103.99,893.0,6.0,103.934682
AAPL,2016-01-04 09:06:00+00:00,103.7,103.7,103.7,103.7,335.0,1.0,103.7
AAPL,2016-01-04 09:07:00+00:00,103.7,103.7,103.6,103.6,1000.0,3.0,103.65
AAPL,2016-01-04 09:08:00+00:00,103.77,103.77,103.6,103.6,2715.0,12.0,103.625769
AAPL,2016-01-04 09:09:00+00:00,103.6,103.6,103.51,103.51,200.0,2.0,103.555
AAPL,2016-01-04 09:10:00+00:00,103.52,103.52,103.5,103.5,1765.0,6.0,103.503626
AAPL,2016-01-04 09:11:00+00:00,103.5,103.55,103.5,103.55,1431.0,4.0,103.514286
AAPL,2016-01-04 09:12:00+00:00,103.59,103.59,103.59,103.59,108.0,1.0,103.59
AAPL,2016-01-04 09:16:00+00:00,103.6,103.6,103.6,103.6,492.0,8.0,103.6
AAPL,2016-01-04 09:25:00+00:00,103.71,103.71,103.71,103.71,188.0,2.0,103.71
AAPL,2016-01-04 09:27:00+00:00,103.66,103.66,103.66,103.66,1000.0,2.0,103.66
AAPL,2016-01-04 09:28:00+00:00,103.66,103.66,103.66,103.66,100.0,1.0,103.66
