Symbol,Title,Source,URL,Timestamp,Polarity,Compound,Sentiment_Label,Text_Length,Full_Text
AMD,AMD AI Surge Faces China Roadblock as Nvidia Sees $50B Market Boom,NewsAPI (Yahoo Entertainment),https://finance.yahoo.com/news/amd-ai-surge-faces-china-182740308.html,2025-09-03T18:27:40,0.8889,0.7189,Positive,2216,"AMD AI Surge Faces China Roadblock as Nvidia Sees $50B Market Boom. AI Chip Battle Heats Up: AMD Targets $500B Market as Nvidia Dominates Training. This article first appeared on GuruFocus. Sep 3 - Advanced Micro Devices (NASDAQ:AMD) delivered solid second-quarter results, but the stock has not rallied even as artificial intelligence demand kee… AMD AI Surge Faces China Roadblock as Nvidia Sees $50B Market Boom. This article first appeared on GuruFocus. Sep 3 - Advanced Micro Devices (NASDAQ:AMD) delivered solid second-quarter results, but the stock has not rallied even as artificial intelligence demand keeps climbing. Revenue grew 32% year-over-year to a record $7.7 billion, supported by strong momentum in AI chips. The company sees a clear shift in demand from training to inference, where its new MI355 GPU is gaining traction with a 35x performance boost for ultra-low latency workloads. Looking ahead, AMD expects third-quarter revenue of $8.7 billion, above the $8.32 billion consensus. That guidance excludes roughly $1.5 billion in restricted China sales, which could lift results even higher if U.S. licensing approvals come through. Despite the uncertainty, AMD forecasts a $500 billion AI chip market by 2028, with inference expected to grow at an 80% compound annual rate. Competitor NVIDIA (NASDAQ:NVDA) reinforced the strength of the market last week with $46 billion in quarterly sales and a forecast of $54 billion for the current period. CEO Jensen Huang highlighted China's potential $50 billion AI chip market this year, which he expects to grow 50% annually. He also pointed to rising startup funding and broad enterprise adoption as long-term growth drivers. Analysts project AMD's revenue will climb to about $40 billion in 2026, implying only 21% growth next year, well below the rapid adoption rates suggested by industry leaders. Still, if AMD expands its AI GPU sales beyond $13 billion annually, it could outpace those forecasts. As the MI355 is being rolled out, and MI400 is on the horizon, the company can have a significant portion of the trillion dollar AI chip market by the end of the decade. But implementation is important because the rivalry with Nvidia is on the rise."
AMD,"Apple upgrade, Ciena earnings, AMD downgrade: Trending Tickers",Yahoo Finance,,2025-09-04T14:05:42.963379,-0.7,-0.63,Negative,96,"Apple upgrade, Ciena earnings, AMD downgrade: Trending Tickers. Sign in to access your portfolio"
AMD,AMD Stock Slips,Yahoo Finance,,2025-09-02T19:05:42.965896,-0.7,-0.63,Negative,101,"AMD Stock Slips. Don’t Expect AI Fireworks This Year, Analyst Says.. Sign in to access your portfolio"
AMD,"Apple upgraded, AMD downgraded: Wall Street's top analyst calls",Yahoo Finance,,2025-09-03T22:05:42.967896,-0.7,-0.63,Negative,97,"Apple upgraded, AMD downgraded: Wall Street's top analyst calls. Sign in to access your portfolio"
AMD,AMD seen as a ’real potential partner’ in the Datacenter/AI market,Yahoo Finance,,2025-09-02T18:05:42.969895,0.0,0.0,Neutral,100,AMD seen as a ’real potential partner’ in the Datacenter/AI market. Sign in to access your portfolio
AMD,AMD Stock Cools Off,Yahoo Finance,,2025-09-04T03:05:42.975521,0.0,0.0,Neutral,86,AMD Stock Cools Off. Is It Time to Buy the Pullback?. Sign in to access your portfolio
AMD,AMD most under-owned chip stock despite sales growth outlook,Yahoo Finance,,2025-09-04T08:05:42.977520,0.0,0.0,Neutral,94,AMD most under-owned chip stock despite sales growth outlook. Sign in to access your portfolio
AMD,Time to act on AMD?,Yahoo Finance,https://stockstory.org/us/stocks/nasdaq/amd?partner=yahoo&utm_source=yahoo&utm_medium=financequotetopnavigation&utm_campaign=quoteinvestabledestktop,2025-09-03T23:05:48.522070,0.7295,0.9118,Very Positive,2269,"Time to act on AMD?. Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates through three segments: Data Center, Client and Gaming, and Embedded. The company offers artificial intelligence AMD (AMD) Research Report. Computer processor maker AMD (NASDAQ:AMD) reported revenue ahead of Wall Street’s expectations in Q2 CY2025, with sales up 31.7% year on year to $7.69 billion. On top of that, next quarter’s revenue guidance ($8.7 billion at the midpoint) was surprisingly good and 5.1% above what analysts were expecting. Its non-GAAP profit of $0.48 per share was in line with analysts’ consensus estimates. Founded in 1969 by a group of former Fairchild semiconductor executives led by Jerry Sanders, Advanced Micro Devices (NASDAQ:AMD) is one of the leading designers of computer processors and graphics chips used in PCs and data centers. AMD began producing computer processors (CPUs) as a second source supplier for Intel as part of Intel’s original processor deal with IBM for the first PCs in the early 1980s. For the next few decades, AMD would have intermittent success in creating its own chips that could better run Intel's own x86 processor architecture, at times grabbing market share from Intel in the data center with innovative designs like Athlon or Opteron, it was not able to find enduring competitive success. Faced with bankruptcy after the Great Financial Crisis, AMD spun out its manufacturing arm, Global Foundries, becoming a far less capital intensive designer of semiconductors, allowing for higher profit margins The entrance of Dr. Lisa Su as CEO in 2016 led to a turning point in chip designs, AMD’s Epyc datacenter CPUs and the Ryzen PC CPUs would eventually surpass Intel due to superior higher performance at lower cost. Where AMD traditionally could only compete with Intel at the low end, in the years since 2016 it has captured share in the most profitable portion of the business — high-end PCs and data center servers, where performance is paramount. Essentially, AMD improved the economics of its business by outsourcing its manufacturing, and competing successfully, but partnerships with chip manufacturers like Taiwan Semiconductor Manufacturing Company will be important for enduring success."
AMD,AMD: No Longer A No-Brainer But Still A Buy,Seeking Alpha (RSS),https://seekingalpha.com/article/4819352-amd-no-longer-a-no-brainer-but-still-a-buy?source=feed_symbol_AMD,2025-09-03T00:05:55.953662,0.7,0.63,Positive,44,AMD: No Longer A No-Brainer But Still A Buy.
AMD,"Advanced Micro Devices, Inc",Seeking Alpha (RSS),https://seekingalpha.com/article/4819049-advanced-micro-devices-inc-amd-presents-at-citis-2025-global-technology-media-and?source=feed_symbol_AMD,2025-09-04T13:05:55.953662,0.0,0.0,Neutral,129,"Advanced Micro Devices, Inc. (AMD) Presents At Citi's 2025 Global Technology, Media And Telecommunications Conference Transcript."
AMD,AMD: Nvidia Signals Lasting AI Boom,Seeking Alpha (RSS),https://seekingalpha.com/article/4818667-amd-nvidia-signals-lasting-ai-boom?source=feed_symbol_AMD,2025-09-02T17:05:55.953662,0.0,0.0,Neutral,36,AMD: Nvidia Signals Lasting AI Boom.
AMD,"Notable analyst calls this week: AMD, Eli Lilly and Constellation Brands among top picks",Seeking Alpha (RSS),https://seekingalpha.com/news/4490616-notable-analyst-calls-this-week-amd-eli-lilly-and-constellation-brands-among-top-picks?source=feed_symbol_AMD,2025-09-04T04:05:55.953662,0.0,0.0,Neutral,89,"Notable analyst calls this week: AMD, Eli Lilly and Constellation Brands among top picks."
AMD,AMD: Left In Nvidia's Dust As Valuations Reach Excessive Levels (Downgrade),Seeking Alpha (RSS),https://seekingalpha.com/article/4817910-amd-left-in-nvidia-dust-as-valuations-reach-excessive-levels-downgrade?source=feed_symbol_AMD,2025-09-03T12:05:55.954668,-0.7,-0.63,Negative,76,AMD: Left In Nvidia's Dust As Valuations Reach Excessive Levels (Downgrade).
AMD,AMD: There Is Still Time To Accumulate Shares,Seeking Alpha (RSS),https://seekingalpha.com/article/4817885-amd-there-is-still-time-to-accumulate-shares?source=feed_symbol_AMD,2025-09-03T12:05:55.954668,0.0,0.0,Neutral,46,AMD: There Is Still Time To Accumulate Shares.
AMD,"AMD’s stock has shined this year, but have expectations gotten too high?",MarketWatch,https://www.marketwatch.com/story/amds-stock-has-shined-this-year-but-have-expectations-gotten-too-high-d8a3ea73?mod=mw_quote_news_topstories,2025-09-03T00:05:42.028240,-0.3634,-0.4543,Negative,72,"AMD’s stock has shined this year, but have expectations gotten too high?"
AMD,ChipsAMD Stock Slips,MarketWatch,https://www.barrons.com/articles/amd-stock-ai-chips-downgrade-67d535fa?mod=mw_quote_news,2025-09-03T21:05:42.196534,-0.7,-0.63,Negative,72,"ChipsAMD Stock Slips. Don’t Expect AI Fireworks This Year, Analyst Says."
AMD,Andrey Rudkov/Bloomberg,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-04/banks-ready-38-billion-of-debt-for-data-centers-tied-to-oracle?srnd=phx-technology,2025-09-03T23:05:46.900019,0.0,0.0,Neutral,23,Andrey Rudkov/Bloomberg
AMD,David Paul Morris/Bloomberg,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-04/broadcom-gives-upbeat-forecast-in-sign-ai-demand-remains-strong?srnd=phx-technology,2025-09-04T12:05:47.081773,0.0,0.0,Neutral,27,David Paul Morris/Bloomberg
AMD,Intel Says 2026 Will Be Pivotal Year for Its Manufacturing Tech,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-04/intel-says-2026-will-be-pivotal-year-for-its-manufacturing-tech?srnd=phx-technology,2025-09-03T17:05:47.263611,0.6758,0.8448,Very Positive,63,Intel Says 2026 Will Be Pivotal Year for Its Manufacturing Tech
AMD,Paramount Bolsters Movie Slate With Deal for Legendary’s Films,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-04/paramount-signs-3-year-agreement-to-distribute-legendary-films?srnd=phx-technology,2025-09-04T09:05:47.452145,0.7105,0.8881,Very Positive,62,Paramount Bolsters Movie Slate With Deal for Legendary’s Films
AMD,Bret Taylor’s AI Startup Sierra Valued at $10 Billion,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-04/bret-taylor-s-ai-startup-sierra-reaches-10-billion-valuation?srnd=phx-technology,2025-09-04T02:05:47.632673,0.0,0.0,Neutral,53,Bret Taylor’s AI Startup Sierra Valued at $10 Billion
AMD,Markets WrapAsia to Join Global Equity Rally Before Jobs Data,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-04/stock-market-today-dow-s-p-live-updates?srnd=phx-markets,2025-09-04T12:05:51.638366,0.0,0.0,Neutral,61,Markets WrapAsia to Join Global Equity Rally Before Jobs Data
AMD,Lots More on the Big Problem With the Monthly Jobs Report,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-04/steven-englander-previews-the-august-jobs-report?srnd=phx-markets,2025-09-03T17:05:51.800736,0.0,0.0,Neutral,57,Lots More on the Big Problem With the Monthly Jobs Report
AMD,S&P 500 Hits All-Time High Before Key Jobs Report: Markets Wrap,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-03/stock-market-today-dow-s-p-live-updates,2025-09-03T22:05:54.847881,-0.5507,-0.6884,Negative,63,S&P 500 Hits All-Time High Before Key Jobs Report: Markets Wrap
AMD,Global Funds Flee Vietnam Stocks at Record Pace on FX Jitters,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-03/global-funds-sell-record-amount-of-vietnam-stocks-after-rally,2025-09-04T10:05:55.028284,-0.7174,-0.8967,Negative,61,Global Funds Flee Vietnam Stocks at Record Pace on FX Jitters
AMD,Stocks and Bonds Rise as Weak Jobs Fuel Fed Bets: Markets Wrap,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-02/stock-market-today-dow-s-p-live-updates,2025-09-03T19:05:55.201933,-0.7325,-0.9156,Negative,62,Stocks and Bonds Rise as Weak Jobs Fuel Fed Bets: Markets Wrap
AMD,Bankers Prep for the Busiest Week of the Year in US IPO Rush,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-02/bankers-prep-for-the-busiest-week-of-the-year-in-us-ipo-rush,2025-09-04T08:05:55.401750,0.0,0.0,Neutral,60,Bankers Prep for the Busiest Week of the Year in US IPO Rush
AMD,Stocks Join Bond Rout as 30-Year Yield Close to 5%: Markets Wrap,Bloomberg,https://www.bloomberg.com/news/articles/2025-09-01/stock-market-today-dow-s-p-live-updates,2025-09-04T07:05:55.572812,-0.389,-0.4863,Negative,64,Stocks Join Bond Rout as 30-Year Yield Close to 5%: Markets Wrap
AMD,"Apple upgraded, AMD downgraded: Wall Street's top analyst calls - Yahoo Finance",Google News,https://news.google.com/rss/articles/CBMihwFBVV95cUxNSklmM3RKUEtkQW14MlVUb3RwQWw4M01aOU9VTUdJRVNhd213V3hkekxpR2xaUUJuMzhOZlAwOHdaTHNBcFh3R1pUR0pqVHFQa2h6bWdiS0VPeGZUcER2bWJtUEVWWlE2Y09lc28tTHJNcmNqU0pDLUdMVEc3dHFZS1ZEd0tXT00?oc=5,2025-09-04T13:33:30,0.6894,0.8618,Very Positive,2732,"Apple upgraded, AMD downgraded: Wall Street's top analyst calls - Yahoo Finance. Apple upgraded, AMD downgraded: Wall Street's top analyst calls  Yahoo Finance Apple upgraded, AMD downgraded: Wall Street's top analyst calls. The most talked about and market moving research calls around Wall Street are now in one place. Here are today's research calls that investors need to know, as compiled by The Fly. Top Upgrades: HSBC upgraded Copart (CPRT) to Buy from Hold with a price target of $62, up from $56. The firm says the stock's 20% decline since the fiscal Q3 results bring an attractive entry point. RBC Capital upgraded Leidos (LDOS) to Outperform from Sector Perform with a price target of $210, up from $180. The firm's bullish thesis is underpinned by continued strength and execution in Leidos' Health Services business, strong defense portfolio positioning, increased confidence under CEO Tom Bell and the revised strategic direction, the firm tells investors in a research note. Evercore ISI upgraded Brinker (EAT) to Outperform from In Line with a price target of $210, up from $190. The firm sees upside to consensus estimates in the near term and sustainable same-store sales growth potential from Brinker's improving customer satisfaction measures. MoffettNathanson upgraded Apple (AAPL) to Neutral from Sell with a $225 price target. A number of key headwinds have faded and the ""worst-case scenarios are off the table,"" the firm tells investors. Top Downgrades: Seaport Research downgraded AMD (AMD) to Neutral from Buy with no price target. Recent supply chain checks point to AMD seeing slowing growth in its AI accelerator business, the firm tells investors. Gordon Haskett downgraded Dollar Tree (DLTR) to Reduce from Hold with a $95 price target. Following the Q2 earnings report, the firm remains concerned with Dollar Tree's move into higher price points. Evercore ISI downgraded Texas Roadhouse (TXRH) to In Line from Outperform with a $190 price target. Texas Roadhouse continues to sustain strong same-store sales and traffic growth, but the firm is reducing its 2025 and 2026 EPS estimates as its base case now assumes double-digit beef inflation persists through the first half of 2026. BofA downgraded Brookfield Asset Management (BAM) to Neutral from Buy with a $68 price target. The firm views the asset manager as ""not best positioned"" among peers for U.S. retail and 401(k) opportunities after President Trump's executive order; it calls Brookfield the ""most expensive asset manager in the world"" following the stock's price performance since April; it notes that Brookfield's capital intensity has increased; and it views the addition of the stock to the S&P 500 as ""unlikely"" over the near-term."
AMD,"Advanced Micro Devices (AMD) Is the Most ‘Under-Owned’ Chip Stock, Says Analyst - TipRanks",Google News,https://news.google.com/rss/articles/CBMipwFBVV95cUxPUFRnVXBaV0xXZUJDREdtN1lyTkVvVnJTN1NhTlJ0eGpEVVVPU1cwNHYyY2ttNWNEWWg4Sms5OEVNQmJDakJoZlNpa014UFlGbE5aX2JXcHZMR281Q1k3V25mdHkyaW1GTUpXWFBTd2Z6LUFyU2Nva2tJMjFiUi1OZHVOQUxHdzFkZXRsMjZOMGpPZXZ0UENiUWdKY1ZoUjVLRmNVLXdqZw?oc=5,2025-09-03T19:36:33,-0.7743,-0.9679,Negative,2216,"Advanced Micro Devices (AMD) Is the Most ‘Under-Owned’ Chip Stock, Says Analyst - TipRanks. Advanced Micro Devices (AMD) Is the Most ‘Under-Owned’ Chip Stock, Says Analyst  TipRanks Advanced Micro Devices (AMD) Is the Most ‘Under-Owned’ Chip Stock, Says Analyst. According to Bank of America, Advanced Micro Devices (AMD) is the most “under-owned U.S. semiconductor stock” among active fund managers. Elevate Your Investing Strategy: Take advantage of TipRanks Premium at 50% off! Unlock powerful investing tools, advanced data, and expert analyst insights to help you invest with confidence. In a new report, Bank of America (BAC) writes that active ownership of AMD stock has dropped to 20% of fund managers in August of this year from 23% in May and 39% a year ago. Advanced Micro Devices’ relative weighting in the S&P 500 is down 80% year-over-year, making it the least-owned chip stock in the benchmark index. The decline in ownership of AMD stock comes despite consensus expectations for 22% sales growth this year. Bank of America noted the under-ownership as it reiterated a Buy rating on AMD stock, saying the company should gain from rising artificial intelligence (AI) demand for its microchips and processors. Gaining Market Share In its report, Bank of America also noted that Advanced Micro Devices continues to gain market share from rival Intel (INTC) and better compete against market leader Nvidia (NVDA). “We reiterate Buy and expect it to benefit from rising tide of AI deployments and continued share gains,” wrote analysts at the bank. Nvidia remains the most widely held semiconductor stock and is currently owned by 75% of fund managers. Bank of America noted that other overweight chip stocks include KLA (KLAC), Broadcom (AVGO), Micron (MU), and Cadence Design Systems (CDNS). AMD’s share price is up 33% this year. Is AMD Stock a Buy? The stock of Advanced Micro Devices has a consensus Moderate Buy rating among 35 Wall Street analysts. That rating is based on 25 Buy and 10 Hold recommendations made in the last three months. The average AMD price target of $184.74 implies 14.82% upside from current levels. Read more analyst ratings on AMD stock Disclaimer & DisclosureReport an Issue"
