Symbol,Title,Source,URL,Timestamp,Polarity,Compound,Sentiment_Label,Text_Length,Full_Text
MSFT,"“That Will Probably Save a Life”: Engineer Found Dead at Microsoft (NASDAQ:MSFT), Shares Tick Down - TipRanks",Google News,https://news.google.com/rss/articles/CBMivgFBVV95cUxOeXp6Y2RuazdSMnVsNDN6T0FFOHVpMDRRRHllZW5PdXVfWkRMaU5FZVZ4aG9fd2xZNVlkUkpnSjVyeDQ3VVp6YV9hWmxVQXBhVDc1MGRoUGhjbWpvd0xHc0phczl4NkFFaFp0b3lnV2JpdFlxOFR0LXVObXZwZGUwU2Q3TDl1S2dBZFJoTXlCU01TMHFXaDFLQl9zenZIYVdkaHNkdGNRNVA2bW1adVJROWVpSnRiLUhxNzZ3ZkdR?oc=5,2025-09-03T17:31:44,0.0,0.0,Neutral,219,"“That Will Probably Save a Life”: Engineer Found Dead at Microsoft (NASDAQ:MSFT), Shares Tick Down - TipRanks. “That Will Probably Save a Life”: Engineer Found Dead at Microsoft (NASDAQ:MSFT), Shares Tick Down  TipRanks"
MSFT,"As Microsoft Takes Aim at OpenAI, Should You Buy, Sell, or Hold MSFT Stock? - Yahoo Finance",Google News,https://news.google.com/rss/articles/CBMiggFBVV95cUxNQllOcnUwOG5QRFBEeDItRXpGeWlXQjlhaVk2Q0RTekE4Wm0tNklxMzhMS192c2cwUFFQUEZEdEtkaV9fMFhpbG9tcDdybUZlbWxpMU5MNEFnNkxCa3dsR0NyOVEzTEQxSWhvSlhmNERDTU1jbWVuYlVjVFhSUWdqU09R?oc=5,2025-09-02T20:12:13,0.0,0.0,Neutral,183,"As Microsoft Takes Aim at OpenAI, Should You Buy, Sell, or Hold MSFT Stock? - Yahoo Finance. As Microsoft Takes Aim at OpenAI, Should You Buy, Sell, or Hold MSFT Stock?  Yahoo Finance"
MSFT,Microsoft Corp (MSFT) Cracks Whip amid Protests on Azure Use by Israel Military - Yahoo Finance,Google News,https://news.google.com/rss/articles/CBMigwFBVV95cUxOcUVfZW1qb0dCdmQ2cTJpY1BINWhxSHgtQloxbzJEN2xsMW1BdHZ0WklBQVRXVGpkcFcxa2oxV21pd0k3ejZKSTN4SFpuVDdfdHNQM3NNWWJKY1NYdElIaHYwdnpwblNCYV9iNmJLS2g2VDZTcldJRHlqX2s0b3FqYmY1NA?oc=5,2025-09-02T15:13:26,-0.7685,-0.9607,Negative,191,Microsoft Corp (MSFT) Cracks Whip amid Protests on Azure Use by Israel Military - Yahoo Finance. Microsoft Corp (MSFT) Cracks Whip amid Protests on Azure Use by Israel Military  Yahoo Finance
MSFT,Microsoft: Buy This Pullback (Rating Upgrade) (NASDAQ:MSFT) - Seeking Alpha,Google News,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOdFpJVUJLRTNJT1FaNG8wSlBzMU1oV043eHVrT3hmZlJ6R19tcDkzRDFjX3VBQ1VpQlVVQ1NMYmNDUEdxMmh2RFhhTDl6N0hJc3VoSTBfMGZCalFVbTlRb3dwNkljeTg2RTg5QnFLOE5pS2ZQZzFqdVZEZGthMXBEVV9sSDJUZ0x5ZlRr?oc=5,2025-09-03T12:00:00,0.0,0.0,Neutral,151,Microsoft: Buy This Pullback (Rating Upgrade) (NASDAQ:MSFT) - Seeking Alpha. Microsoft: Buy This Pullback (Rating Upgrade) (NASDAQ:MSFT)  Seeking Alpha
MSFT,Here is Why Growth Investors Should Buy Microsoft (MSFT) Now - Yahoo Finance,Google News,https://news.google.com/rss/articles/CBMihwFBVV95cUxPSTJXM0dGTHlfLXJhWWdmb2VENmExRXdtc2owcHh6WEVVNGdwYkNUVHNxNDJac2JGMVExd1RmV2U4ZjFtdDM2VjJ0cHZBRUY5bUtNdHNkeU0zeGZ3ZHh6cDZoMTM0S2ZhMXdxcWh3UFF3RDU4YzZtT25Jby04VWEwWkp4czBqdVU?oc=5,2025-09-02T16:45:02,0.0,0.0,Neutral,153,Here is Why Growth Investors Should Buy Microsoft (MSFT) Now - Yahoo Finance. Here is Why Growth Investors Should Buy Microsoft (MSFT) Now  Yahoo Finance
MSFT,Microsoft (NASDAQ: MSFT) Stock Price Prediction for 2025: Where Will It Be in 1 Year - 24/7 Wall St,Google News,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOTTZVbDVvOHJjQVc0T2t1TDhDMmZPY3ZQWldvNW1DSWpSaDhMQWVYbFZBeklXOU5lMjVWUzZOdno0ZnluV05KODhSaXBOS3Y3Y1VoSFdWQU51TW9CTDVISnJlNUl1NkExdVMwaVV0VTJuUGJVNGVWdmIzLWN1RDZLZ2xkVjRFbjlNODd4MFE2VGY1b1pPWGQ2ejVLWVVJOXZRQ3ludHBZUzVnTnZ5NGdtdGdXZEliQnhZc1BCdXF3UzR3QQ?oc=5,2025-09-04T14:10:04,0.0,0.0,Neutral,201,Microsoft (NASDAQ: MSFT) Stock Price Prediction for 2025: Where Will It Be in 1 Year - 24/7 Wall St.. Microsoft (NASDAQ: MSFT) Stock Price Prediction for 2025: Where Will It Be in 1 Year  24/7 Wall St.
MSFT,"Microsoft Corporation (MSFT) Was Weighed Down Due To Software Industry Woes, Says JIm Cramer - MSN",Google News,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNVXQ1NUxmXzdtZjlVemJ5MWttSUVQbFFia3VJeDV5cWl5VFRhaWc0WFNid2xDYkhvSjBYMm1Bbm5xd3ZQSW9GOFVJSUhkZlhpQWRZZ0Nxc2hvQzhBcHR0dWpfb1dJRkhIYmU5UDBQTFFIWUlDZ2lILUJSWWFIWTBwZzVtalVyMlVsTS1ObWtjbFZ5ZmtRMjVYVFMya1hGS18xYlg5ZjNqWUJZYzEtU0xvMThQblVyajJsbUxlZXJsWm1wSHNoWmRSQVpzRDFEeVVrbEJkcWJjTGc?oc=5,2025-09-04T20:18:30,-0.7528,-0.941,Negative,197,"Microsoft Corporation (MSFT) Was Weighed Down Due To Software Industry Woes, Says JIm Cramer - MSN. Microsoft Corporation (MSFT) Was Weighed Down Due To Software Industry Woes, Says JIm Cramer  MSN"
MSFT,"Microsoft Corporation (MSFT) Stock Price, News, Quote & History - uk",Google News,https://news.google.com/rss/articles/CBMiUkFVX3lxTE41d2UzenppWG9mNk9od2RxVTIxSzNxTFJIYlV1U3lBX284NVY2NTBSSnRVclctbDNIODhyRTZPTFVYZ25YcHlYdVdOYUJXc3dvdnc?oc=5,2025-08-21T07:00:00,0.0,0.0,Neutral,173,"Microsoft Corporation (MSFT) Stock Price, News, Quote & History - uk.finance.yahoo.com. Microsoft Corporation (MSFT) Stock Price, News, Quote & History  uk.finance.yahoo.com"
MSFT,Elon Musk set to take on Microsoft with new company (MSFT:NASDAQ) - Seeking Alpha,Google News,https://news.google.com/rss/articles/CBMikwFBVV95cUxQeW4yX3Iyb3lJLUNZbXpUbWc4SXl1Ti1pZHFlZUktb1MxUWdVRFhRWHJkYkk1VVZFb1Q1c1pzTXcxLWw5U3BjdmNqQXQzVjdjeGF2UzduejhTV1dtR3UzQUY4NHJVNmsteFp3MFE5VjFOVDBqVXp1UTV3MHc3ZXRkdmk2Y1BkRTI3OGhJbFBWX180VDA?oc=5,2025-08-22T07:00:00,0.0,0.0,Neutral,163,Elon Musk set to take on Microsoft with new company (MSFT:NASDAQ) - Seeking Alpha. Elon Musk set to take on Microsoft with new company (MSFT:NASDAQ)  Seeking Alpha
MSFT,Microsoft (MSFT) Joins Forces With DeepIQ To Revolutionize Energy Sector With Agentic AI - simplywall,Google News,https://news.google.com/rss/articles/CBMixwFBVV95cUxOOHoyWnNRQS1MQVEwTjNkdkdTbldLQV9Ha1JCVDJVVTE1d0pOT29NRUlUVklsNTNWQ25YQ3FaZ3pJc0FVU0R5c3RjUWUzZTZlZnB4eklqbUEteGxyd1ZZVjdac294MHc3UVFNWGlfYUdPMDlxb2RDdy04cVRoVE84eDVELTF1M2VwU2dLMUJsWlNjS1lfdnhacVcwUlduNVZoMzIwSVNBTjR3U2FYUEdjWElIbGsyejJCcnBIWVBhMEJROWNrOWVj0gHMAUFVX3lxTE5GdnR3b2llTHY5c2o3XzU4QlBDdzlMa2dmX3hYWC00TldBM1pXdk9fY3B5alpLd1F6TUwxTzlERjBnVVhxZnlMTkxNU2lrSThWUVZGSHI0aFR0U1VLWU9JUTZISDRleC03NDNwNzM1OEpJbjBmOHVwMEZVLVV2WXVlelFFcUtNeG1NWk91d3lfSWNzQ1EtN1JMX0tOT2lOaXpoMHE0c1VSUnBHUlNCRzZIN1hxWU8zMHJLaVQ4T3NMYUM4TjdXeGhjUVpVUQ?oc=5,2025-09-04T17:21:32,0.4925,0.6156,Positive,209,Microsoft (MSFT) Joins Forces With DeepIQ To Revolutionize Energy Sector With Agentic AI - simplywall.st. Microsoft (MSFT) Joins Forces With DeepIQ To Revolutionize Energy Sector With Agentic AI  simplywall.st
