Date,Open,High,Low,close split,Close splits and dividend,Volume
2020-01-02,74.06,75.15,73.8,75.09,72.54,135480400
2020-01-03,74.29,75.14,74.13,74.36,71.83,146322800
2020-01-06,73.45,74.99,73.19,74.95,72.41,118387200
2020-01-07,74.96,75.22,74.37,74.6,72.07,108872000
2020-01-08,74.29,76.11,74.29,75.8,73.22,132079200
2020-01-09,76.81,77.61,76.55,77.41,74.78,170108400
2020-01-10,77.65,78.17,77.06,77.58,74.95,140644800
2020-01-13,77.91,79.27,77.79,79.24,76.55,121532000
2020-01-14,79.18,79.39,78.04,78.17,75.52,161954400
2020-01-15,77.96,78.88,77.39,77.83,75.19,121923600
2020-01-16,78.4,78.93,78.02,78.81,76.13,108829200
2020-01-17,79.07,79.68,78.75,79.68,76.98,137816400
2020-01-21,79.3,79.75,79.0,79.14,76.46,110843200
2020-01-22,79.64,80.0,79.33,79.43,76.73,101832400
2020-01-23,79.48,79.89,78.91,79.81,77.1,104472000
2020-01-24,80.06,80.83,79.38,79.58,76.88,146537600
2020-01-27,77.51,77.94,76.22,77.24,74.62,161940000
2020-01-28,78.15,79.6,78.05,79.42,76.73,162234000
2020-01-29,81.11,81.96,80.35,81.08,78.33,216229200
2020-01-30,80.14,81.02,79.69,80.97,78.22,126743200
2020-01-31,80.23,80.67,77.07,77.38,74.75,199588400
2020-02-03,76.07,78.37,75.56,77.17,74.55,173788400
2020-02-04,78.83,79.91,78.41,79.71,77.01,136616400
2020-02-05,80.88,81.19,79.74,80.36,77.63,118826800
2020-02-06,80.64,81.31,80.07,81.3,78.54,105425600
2020-02-07,80.59,80.85,79.5,80.01,77.47,117684000
2020-02-10,78.54,80.39,78.46,80.39,77.84,109348800
2020-02-11,80.9,80.97,79.68,79.9,77.37,94323200
2020-02-12,80.37,81.81,80.37,81.8,79.21,113730400
2020-02-13,81.05,81.56,80.84,81.22,78.65,94747600
2020-02-14,81.18,81.5,80.71,81.24,78.67,80113600
2020-02-18,78.84,79.94,78.65,79.75,77.23,152531200
2020-02-19,80.0,81.14,80.0,80.9,78.34,93984000
2020-02-20,80.66,81.16,79.55,80.07,77.54,100566000
2020-02-21,79.65,80.11,77.63,78.26,75.79,129554000
2020-02-24,74.32,76.04,72.31,74.54,72.19,222195200
2020-02-25,75.24,75.63,71.53,72.02,69.74,230673600
2020-02-26,71.63,74.47,71.63,73.16,70.85,198054800
2020-02-27,70.28,71.5,68.24,68.38,66.22,320605600
2020-02-28,64.32,69.6,64.09,68.34,66.18,426510000
2020-03-02,70.57,75.36,69.43,74.7,72.34,341397200
2020-03-03,75.92,76.0,71.45,72.33,70.04,319475600
2020-03-04,74.11,75.85,73.28,75.68,73.29,219178400
2020-03-05,73.88,74.89,72.85,73.23,70.91,187572800
2020-03-06,70.5,72.71,70.31,72.26,69.97,226176800
2020-03-09,65.94,69.52,65.75,66.54,64.44,286744800
2020-03-10,69.29,71.61,67.34,71.33,69.08,285290000
2020-03-11,69.35,70.31,67.96,68.86,66.68,255598800
2020-03-12,63.99,67.5,62.0,62.06,60.09,418474000
2020-03-13,66.22,69.98,63.24,69.49,67.29,370732000
2020-03-16,60.49,64.77,60.0,60.55,58.64,322423600
2020-03-17,61.88,64.4,59.6,63.22,61.21,324056000
2020-03-18,59.94,62.5,59.28,61.67,59.72,300233600
2020-03-19,61.85,63.21,60.65,61.19,59.26,271857200
2020-03-20,61.79,62.96,57.0,57.31,55.5,401693200
2020-03-23,57.02,57.13,53.15,56.09,54.32,336752800
2020-03-24,59.09,61.92,58.58,61.72,59.77,287531200
2020-03-25,62.69,64.56,61.08,61.38,59.44,303602000
2020-03-26,61.63,64.67,61.59,64.61,62.56,252087200
2020-03-27,63.19,63.97,61.76,61.94,59.97,204216800
2020-03-30,62.69,63.88,62.35,63.7,61.69,167976400
2020-03-31,63.9,65.62,63.0,63.57,61.56,197002000
2020-04-01,61.63,62.18,59.78,60.23,58.32,176218400
2020-04-02,60.08,61.29,59.22,61.23,59.29,165934000
2020-04-03,60.7,61.42,59.74,60.35,58.44,129880000
2020-04-06,62.72,65.78,62.35,65.62,63.54,201820400
2020-04-07,67.7,67.93,64.75,64.86,62.8,202887200
2020-04-08,65.68,66.84,65.31,66.52,64.41,168895200
2020-04-09,67.18,67.52,66.18,67.0,64.88,161834800
2020-04-13,67.08,68.43,66.46,68.31,66.15,131022800
2020-04-14,70.0,72.06,69.51,71.76,69.49,194994800
2020-04-15,70.6,71.58,70.16,71.11,68.86,131154400
2020-04-16,71.85,72.05,70.59,71.67,69.4,157125200
2020-04-17,71.17,71.74,69.21,70.7,68.46,215250000
2020-04-20,69.49,70.42,69.21,69.23,67.04,130015200
2020-04-21,69.07,69.31,66.36,67.09,64.97,180991600
2020-04-22,68.4,69.47,68.05,69.03,66.84,116862400
2020-04-23,68.97,70.44,68.72,68.76,66.58,124814400
2020-04-24,69.3,70.75,69.25,70.74,68.5,126161200
2020-04-27,70.45,71.14,69.99,70.79,68.55,117087600
2020-04-28,71.27,71.46,69.55,69.64,67.44,112004800
2020-04-29,71.18,72.42,70.97,71.93,69.66,137280800
2020-04-30,72.49,73.63,72.09,73.45,71.13,183064000
2020-05-01,71.56,74.75,71.46,72.27,69.98,240616800
2020-05-04,72.29,73.42,71.58,73.29,70.97,133568000
2020-05-05,73.76,75.25,73.61,74.39,72.04,147751200
2020-05-06,75.11,75.81,74.72,75.16,72.78,142333600
2020-05-07,75.81,76.29,75.49,75.93,73.53,115215200
2020-05-08,76.41,77.59,76.07,77.53,75.28,133838400
2020-05-11,77.03,79.26,76.81,78.75,76.47,145946400
2020-05-12,79.46,79.92,77.73,77.85,75.59,162301200
