date,title,source,url,tone,language,country,themes,word_count
20250604T110000Z,Cloud Run GPUs are now generally available | Google Cloud Blog,cloud.google.com,https://cloud.google.com/blog/products/serverless/cloud-run-gpus-are-now-generally-available,0,English,United States,,0
20250611T214500Z,Türk Telekom e - dergi - Apps on Google Play,play.google.com,https://play.google.com/store/apps/details?id=com.avea.edergi&referrer=adjust_reftag%3DcESiEIAIUdEiN%26utm_source%3D2025_dijital_iletisim&r=faeef2ea-fe6d-4c21-b8bd-567297507a9a,0,English,United States,,0
20250705T054500Z,Amiga Linux,groups.google.com,https://groups.google.com/g/comp.sys.amiga.emulations/c/xUgrpylQOXk,0,English,United States,,0
20250826T140000Z,Update your browser to use Google Drive and other apps,support.google.com,https://support.google.com/drive/answer/6283888?visit_id=638918128338476595-1831708081&p=unsupported_browser&rd=1,0,English,United States,,0
20250829T060000Z,Home - strangecwkeys,sites.google.com,https://sites.google.com/site/oh6dccw/strangecwkeys,0,English,United States,,0
20250602T054500Z,Borderlands Mexico : Nearshoring investments still flowing south of the border,finance.yahoo.com,https://finance.yahoo.com/news/borderlands-mexico-nearshoring-investments-still-110000684.html,0,English,United States,,0
20250602T050000Z,"Showers will end , skies gradually clear overnight , good aurora viewing weather",yahoo.com,https://www.yahoo.com/news/showers-end-skies-gradually-clear-014404550.html,0,English,United States,,0
20250602T050000Z,40 foot sinkhole opens up in Dunmore,yahoo.com,https://www.yahoo.com/news/40-foot-sinkhole-opens-dunmore-022216930.html,0,English,United States,,0
20250602T050000Z,"Ukraine drone attacks on Russia spark fires , disrupt traffic , officials say",yahoo.com,https://www.yahoo.com/news/ukraine-drone-attacks-russia-spark-044314222.html,0,English,United States,,0
20250602T050000Z,Oceans feel the heat from human climate pollution,yahoo.com,https://www.yahoo.com/news/oceans-feel-heat-human-climate-034158100.html,0,English,United States,,0
20250602T050000Z,"John Oliver Calls Attention To Air Traffic Control Crisis With FAA Ad Spoof Featuring Lil Rel Howery , Keyla Monterroso Mejia & H . Jon Benjamin",yahoo.com,https://www.yahoo.com/news/john-oliver-calls-attention-air-042039066.html,0,English,United States,,0
20250602T050000Z,Several events planned for Pride Month in Evansville,yahoo.com,https://www.yahoo.com/news/several-events-planned-pride-month-020312367.html,0,English,United States,,0
20250602T050000Z,Big Island police investigating overnight shooting,yahoo.com,https://www.yahoo.com/news/big-island-police-investigating-overnight-014836674.html,0,English,United States,,0
20250602T050000Z,"Lorne Michaels Speaks From the Heart , Investigative Reporters Sound the Alarm on Trump Upheaval at Peabody Awards",yahoo.com,https://www.yahoo.com/news/lorne-michaels-speaks-heart-investigative-025013568.html,0,English,United States,,0
20250602T050000Z,Man shot to death in Penrose neighborhood : Police,yahoo.com,https://www.yahoo.com/news/man-shot-death-penrose-neighborhood-022938241.html,0,English,United States,,0
20250602T050000Z,False Police Report and The Arrest of Two Fugitives . ,yahoo.com,https://www.yahoo.com/news/false-police-report-arrest-two-020037911.html,0,English,United States,,0
20250602T050000Z,CBA holds commencement for the class of 2025,yahoo.com,https://www.yahoo.com/news/cba-holds-commencement-class-2025-021500276.html,0,English,United States,,0
20250602T050000Z,"Car flips into orchard off of Highway 101 , slowing traffic",yahoo.com,https://www.yahoo.com/news/car-flips-orchard-off-highway-214848746.html,0,English,United States,,0
20250602T050000Z,Mountain lion hit by pick - up truck on Highway 46,yahoo.com,https://www.yahoo.com/news/mountain-lion-hit-pick-truck-211407092.html,0,English,United States,,0
20250602T050000Z,Hong Kong activist challenges China Tiananmen taboo from exile in Taiwan,yahoo.com,https://www.yahoo.com/news/hong-kong-activist-challenges-chinas-040323699.html,0,English,United States,,0
20250602T050000Z,3 gunshot victims arrive at hospital : MPD,yahoo.com,https://www.yahoo.com/news/3-gunshot-victims-arrive-hospital-020040687.html,0,English,United States,,0
20250602T050000Z,Democratic leaders visit MS Coast to rally vote in high - stakes Gulfport election,yahoo.com,https://www.yahoo.com/news/democratic-leaders-visit-ms-coast-215638113.html,0,English,United States,,0
20250602T050000Z,Mostly sunny and very warm weather for Monday ahead of numerous storm chances,yahoo.com,https://www.yahoo.com/news/mostly-sunny-very-warm-weather-014613101.html,0,English,United States,,0
20250602T050000Z,"Ukraine  Spider Web  drone strike burns over 40 Russian warplanes , Moscow calls it  terrorist attack  ",yahoo.com,https://www.yahoo.com/news/ukraine-spider-drone-strike-burns-014917047.html,0,English,United States,,0
20250602T050000Z,Homeless seek refuge at Madrid airport as rents soar,yahoo.com,https://www.yahoo.com/news/homeless-seek-refuge-madrid-airport-043927934.html,0,English,United States,,0
20250602T050000Z,Person seriously hurt in northeast Charlotte apartment shooting,yahoo.com,https://www.yahoo.com/news/person-seriously-hurt-northeast-charlotte-024536109.html,0,English,United States,,0
20250602T050000Z,Teen leads push to make subtitles mandatory in NY movie theaters :  Accessibility is a right  ,yahoo.com,https://www.yahoo.com/news/teen-leads-push-subtitles-mandatory-221626346.html,0,English,United States,,0
20250602T050000Z,"National nonprofit sending safety patrols , offering reward following South Side mass shooting",yahoo.com,https://www.yahoo.com/news/national-nonprofit-sending-safety-patrols-232935807.html,0,English,United States,,0
20250602T050000Z,  A little worried : Back - to - back shootings at Snellville park have visitors on edge,yahoo.com,https://www.yahoo.com/news/little-worried-back-back-shootings-032634496.html,0,English,United States,,0
20250602T050000Z,CUNY Labor School honcho spreads  antisemitic  conspiracy and lies about Gaza war : critics,yahoo.com,https://www.yahoo.com/news/cuny-labor-school-honcho-spreads-231133800.html,0,English,United States,,0
20250602T050000Z,DC police to increase presence at religious institutions after Colorado terrorist attack,yahoo.com,https://www.yahoo.com/news/dc-police-increase-presence-religious-021342430.html,0,English,United States,,0
20250602T050000Z,Is Trump deterring European tourists to US ? Not so fast,yahoo.com,https://www.yahoo.com/news/trump-deterring-european-tourists-us-035354309.html,0,English,United States,,0
20250602T050000Z,Atlantic hurricane season begins,yahoo.com,https://www.yahoo.com/news/atlantic-hurricane-season-begins-023257151.html,0,English,United States,,0
20250602T050000Z,Suspect arrested in deadly Kalamazoo shooting,yahoo.com,https://www.yahoo.com/news/suspect-arrested-deadly-kalamazoo-shooting-015414816.html,0,English,United States,,0
20250602T050000Z,"What we know about the Boulder , Colorado attack",yahoo.com,https://www.yahoo.com/news/know-boulder-colorado-attack-040518840.html,0,English,United States,,0
20250602T050000Z,Fallen hiker rescued near Battery Crosby,yahoo.com,https://www.yahoo.com/news/fallen-hiker-rescued-near-battery-233800383.html,0,English,United States,,0
20250602T050000Z,Stricken NYC firefighter promoted in  very emotional  ceremony :  Meant so much to him  ,yahoo.com,https://www.yahoo.com/news/stricken-nyc-firefighter-promoted-very-230325105.html,0,English,United States,,0
20250602T050000Z,"5 arrested , 2 injured after shooting in Harrisburg , Richmond County deputies beef up patrols",yahoo.com,https://www.yahoo.com/news/5-arrested-2-injured-shooting-015455273.html,0,English,United States,,0
